trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
225,False,"{'a': 0.4, 'e': 0.10526490184835903}",25,15,7.7343212595148225,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.4, 'e': 0.10421225282987544}",20,6,22.01815152596402,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.4, 'e': 0.10317013030157668}",20,4,18.365663654960343,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.4, 'e': 0.10213842899856092}",20,14,14.5392811449428,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.4, 'e': 0.10111704470857531}",25,13,16.762708983389672,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.4, 'e': 0.10010587426148955}",20,1,-22.27566560755264,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
231,False,"{'a': 0.4, 'e': 0.09910481551887466}",20,2,24.31240656611986,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.0981137673636859}",20,10,6.5658814445466,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.4, 'e': 0.09713262969004906}",30,14,23.527159072677247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.4, 'e': 0.09616130339314856}",20,0,34.695023225696225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.4, 'e': 0.09519969035921708}",20,8,18.92979651194721,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.4, 'e': 0.0942476934556249}",25,0,2.8768028915726735,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
237,False,"{'a': 0.4, 'e': 0.09330521652106866}",20,10,20.537815948583766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.4, 'e': 0.09237216435585796}",20,10,4.28440199319034,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.4, 'e': 0.09144844271229938}",20,15,8.465914099105929,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.4, 'e': 0.0905339582851764}",30,7,-6.50786780188281,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.4, 'e': 0.08962861870232462}",30,7,29.601662297486282,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.4, 'e': 0.08873233251530138}",20,6,1.754441196386558,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
243,False,"{'a': 0.4, 'e': 0.08784500919014836}",25,18,12.952654803678707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.4, 'e': 0.08696655909824688}",30,7,27.83906496413204,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.4, 'e': 0.0860968935072644}",20,10,8.370617457106064,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.4, 'e': 0.08523592457219176}",30,20,18.40975977525377,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.4, 'e': 0.08438356532646984}",25,13,18.426173936833273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.4, 'e': 0.08353972967320515}",20,6,14.77688376044085,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.4, 'e': 0.0827043323764731}",20,8,10.478152234771082,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.4, 'e': 0.08187728905270836}",20,7,12.512325029444128,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.4, 'e': 0.08105851616218128}",25,7,16.47450029138829,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
